0.003, 0.5, 0.99, 0.7578125, 0.71875
0.003, 0.5, 0.999, 0.7421875, 0.703125
0.003, 1, 0.99, 0.734375, 0.703125
0.003, 1, 0.999, 0.734375, 0.703125
0.003, 2, 0.99, 0.7578125, 0.7265625
0.003, 2, 0.999, 0.7421875, 0.71875
0.003, 5, 0.99, 0.7421875, 0.6796875
0.003, 5, 0.999, 0.703125, 0.671875
0.003, 10, 0.99, 0.734375, 0.703125
0.003, 10, 0.999, 0.828125, 0.8125
0.001, 0.5, 0.99, 0.7734375, 0.765625
0.001, 0.5, 0.999, 0.7734375, 0.78125
0.001, 1, 0.99, 0.78125, 0.8046875
0.001, 1, 0.999, 0.78125, 0.796875
0.001, 2, 0.99, 0.859375, 0.8671875
0.001, 2, 0.999, 0.7578125, 0.7578125
0.001, 5, 0.99, 0.7421875, 0.7265625
0.001, 5, 0.999, 0.765625, 0.7578125
0.001, 10, 0.99, 0.7265625, 0.734375
0.001, 10, 0.999, 0.7421875, 0.7421875
0.0005, 0.5, 0.99, 0.796875, 0.78125
0.0005, 0.5, 0.999, 0.796875, 0.7890625
0.0005, 1, 0.99, 0.828125, 0.7890625
0.0005, 1, 0.999, 0.8125, 0.8046875
0.0005, 2, 0.99, 0.8125, 0.8046875
0.0005, 2, 0.999, 0.8125, 0.8046875
0.0005, 5, 0.99, 0.78125, 0.8046875
0.0005, 5, 0.999, 0.7890625, 0.796875
0.0005, 10, 0.99, 0.765625, 0.7578125
0.0005, 10, 0.999, 0.7578125, 0.734375
